map,tier,year,completions,hours played,completions per hours played,,notes
surf_ezclap,3,2019,2149,2468,0.871,,
surf_velocity,3,2012,2200,2555,0.861,,
surf_diverge,3,2014,2219,2584,0.859,,
surf_asrown,3,2012,2099,2449,0.857,,
surf_lighthouse,3,2014,2390,2792,0.856,,
surf_b_r_o_x_x_x,3,2012,2142,2523,0.849,,
surf_lithium,3,2012,2045,2414,0.847,,
surf_papertown,2,2018,2642,3131,0.844,,
surf_calamity_njv,3,2012,2216,2627,0.844,,
surf_amateur_v2b,3,2012,2164,2571,0.842,,
surf_collaboration,4,2012,2062,2462,0.838,,
surf_swagtoast,3,2015,2286,2744,0.833,,
surf_networked,3,2012,1777,2152,0.826,,
surf_tron_njv,3,2012,1784,2169,0.823,,
surf_friday,3,2016,2200,2704,0.814,,
surf_ebony,2,2020,2327,2876,0.809,,
surf_this_njv,4,2012,2004,2481,0.808,,
surf_palette_fix,3,2012,1921,2382,0.806,,
surf_6,2,2017,2136,2654,0.805,,
surf_auroria_ksf,3,2013,2123,2656,0.799,,
surf_christmas,3,2012,2708,3392,0.798,,
surf_hellenic,3,2023,990,1247,0.794,,
surf_mwag_reloaded,2,2019,2240,2828,0.792,,
surf_quantum_njv,3,2012,1767,2230,0.792,,
surf_torque,3,2012,1937,2445,0.792,,
surf_raqqit,3,2025,451,572,0.788,,
surf_vantica,3,2025,386,495,0.78,,
surf_affliction,2,2025,557,717,0.777,,
surf_color_fix,3,2012,2024,2605,0.777,,
surf_static,3,2012,1911,2465,0.775,,
surf_monolith,3,2025,486,628,0.774,,
surf_luminaris_refix,3,2020,1648,2141,0.77,,
surf_ember2,4,2019,1986,2581,0.77,,
surf_not_so_disaster,2,2018,2425,3150,0.77,,
surf_sky_ages,3,2012,1914,2496,0.767,,
surf_finesse_final,4,2012,1723,2266,0.761,,
surf_paranoid_enigma,3,2012,1729,2279,0.759,,
surf_overgrowth,4,2012,3471,4593,0.756,,
surf_impact,3,2012,1904,2523,0.755,,
surf_parc_colore,3,2012,2494,3316,0.752,,
surf_kvas,2,2023,2140,2858,0.749,,
surf_emerald,4,2025,424,568,0.747,,
surf_proximity_final,3,2012,1875,2511,0.747,,
surf_ataque_final,3,2012,1721,2311,0.745,,
surf_animals_ksf,3,2016,1801,2445,0.737,,
surf_anthropomorphic,3,2012,1881,2565,0.733,,
surf_tropic_ksf,3,2024,726,995,0.73,,
surf_faint_fix,2,2013,2108,2919,0.722,,
surf_sandman_v2,4,2012,2139,2962,0.722,,
surf_fantasy,3,2022,1467,2050,0.715,,
surf_froots_ksf,3,2018,1908,2670,0.714,,
surf_psi_fixed,3,2012,1388,1973,0.704,,
surf_tenacious,3,2012,1672,2377,0.703,,
surf_pure,4,2012,1646,2350,0.701,,
surf_togo,3,2012,1614,2312,0.698,,
surf_sunset,4,2012,1696,2443,0.694,,
surf_not_so_generated,3,2022,1108,1603,0.691,,
surf_sleeper,4,2024,598,867,0.69,,
surf_distraction_v2,3,2012,1800,2615,0.688,,
surf_minigolf_ksf,3,2021,1416,2063,0.686,,
surf_retroartz,3,2012,1668,2438,0.684,,
surf_lodypreview,3,2012,1818,2662,0.683,,
surf_forbidden_tomb2,4,2012,1894,2788,0.679,,
surf_stick,3,2012,1645,2423,0.679,,
surf_insideout_final,3,2012,1591,2346,0.678,,
surf_forbidden_tomb3,4,2012,1894,2806,0.675,,
surf_cubic_ksf,3,2020,1583,2371,0.668,,
surf_destiny_fixed,3,2012,1448,2172,0.667,,
surf_lost2,3,2019,1970,2964,0.665,,
surf_prevail,3,2022,845,1278,0.661,,
surf_resort,3,2016,1613,2447,0.659,,
surf_trapped2,4,2017,1987,3040,0.654,,
surf_wazor_ksf,4,2012,1585,2446,0.648,,
surf_quasar_final,3,2012,1495,2310,0.647,,
surf_kawaii,3,2012,1532,2366,0.647,,
surf_ragequit,4,2012,1565,2431,0.644,,
surf_stonework2,3,2012,1803,2811,0.641,,
surf_qlimax_q,4,2012,1421,2219,0.64,,
surf_twilight_njv,2,2016,1651,2610,0.633,,
surf_blackside,4,2013,1726,2738,0.63,,
surf_nac,3,2015,1663,2655,0.626,,
surf_calamity2,4,2012,1677,2679,0.626,,
surf_kaaba,3,2023,751,1205,0.623,,
surf_banger,3,2021,1182,1909,0.619,,
surf_low_production,3,2018,1393,2272,0.613,,
surf_redemption_b1,4,2012,1426,2362,0.604,,
surf_parrot_selector,3,2012,1448,2403,0.603,,
surf_entropy_finalv2,3,2012,1290,2138,0.603,,
surf_bork_nbv,3,2012,1481,2468,0.6,,
surf_funhouse2,2,2020,1295,2165,0.598,,
surf_quilavar,3,2012,1305,2180,0.598,,
surf_sexplizooimed,4,2012,1548,2603,0.595,,
surf_fruits2,3,2014,2001,3375,0.593,,
surf_sketchy,3,2023,641,1083,0.592,,
surf_stonework,4,2012,1500,2548,0.589,,
surf_bikini_bottom,3,2025,528,900,0.587,,
surf_fast,3,2012,2122,3613,0.587,,
surf_catalyst2,4,2012,1638,2793,0.586,,
surf_aeron,3,2017,1540,2631,0.585,,
surf_awakening,3,2013,1524,2617,0.582,,
surf_blackout,3,2018,1174,2033,0.578,,
surf_cyanide,3,2012,1294,2240,0.578,,
surf_subway,3,2018,1452,2517,0.577,,
surf_sinsane_ez,3,2017,1362,2359,0.577,,
surf_quattro,4,2012,1169,2053,0.569,,
surf_whoknows2,4,2015,1917,3389,0.566,,
surf_gauntlet_final,4,2012,1363,2406,0.566,,
surf_depressing,3,2014,1505,2662,0.565,,
surf_whoknows_ksf,3,2015,1484,2642,0.562,,
surf_slobs,3,2022,889,1584,0.561,,
surf_construction,4,2012,1360,2426,0.561,,
surf_seaside,3,2023,780,1392,0.56,,
surf_a,3,2018,1510,2696,0.56,,
surf_pandemonium_njv,3,2012,1633,2921,0.559,,
surf_slob2_fix,3,2020,987,1768,0.558,,
surf_sc_colours,4,2012,1276,2291,0.557,,
surf_hydrogen,4,2012,1247,2255,0.553,,
surf_sci_fi,3,2014,1271,2301,0.552,,
surf_colony,3,2024,383,701,0.546,,
surf_sh,4,2012,1430,2620,0.546,,
surf_taq,4,2012,1221,2243,0.544,,
surf_diminsion,3,2012,1423,2617,0.544,,
surf_gurus_fix,5,2012,1531,2832,0.541,,
surf_lt_unicorn,4,2015,2169,4023,0.539,,
surf_lost,3,2017,1338,2496,0.536,,
surf_curious,4,2012,1244,2322,0.536,,
surf_junglepics_ksf,4,2012,1105,2064,0.535,,
surf_rubiks_cube,4,2022,965,1809,0.533,,
surf_cosmo,3,2022,870,1634,0.533,,
surf_iceworld,3,2015,1260,2380,0.529,,
surf_frequency_njv,3,2012,1395,2638,0.529,,
surf_pandora,3,2022,957,1817,0.527,,
surf_honour,3,2024,552,1054,0.524,,
surf_beginner_hell,4,2016,1807,3457,0.523,,
surf_milkyway,3,2015,1602,3066,0.522,,
surf_lithium2,4,2012,1220,2357,0.518,,
surf_vector_final,4,2012,1204,2334,0.516,,
surf_pavilion,3,2012,1203,2334,0.515,,
surf_sandstorm2,3,2019,1126,2196,0.513,,
surf_underworld,4,2012,1521,2965,0.513,,
surf_ixtab,4,2012,1316,2571,0.512,,
surf_happyhands3,3,2013,1342,2641,0.508,,
surf_graphia,2,2012,6492,12779,0.508,,
surf_happyhands2,3,2012,1372,2702,0.508,,
surf_compact,3,2012,1204,2381,0.506,,
surf_sentient,4,2015,1131,2252,0.502,,
surf_auroria2,4,2013,1384,2767,0.5,,
surf_lolrevlis2,3,2012,1076,2152,0.5,,
surf_be_gentle,3,2017,1228,2465,0.498,,
surf_loves_spliff,4,2012,1243,2495,0.498,,
surf_halloween_fix,4,2012,1181,2371,0.498,,
surf_stagejuan_ksf,3,2013,1218,2462,0.495,,
surf_wasteland,3,2021,1055,2154,0.49,,
surf_prosperity_v2,4,2012,1137,2337,0.486,,
surf_muerto,5,2024,412,851,0.484,,
surf_sewers,4,2012,1089,2270,0.48,,
surf_firedancer,4,2025,303,638,0.475,,
surf_fuckyall,4,2023,717,1510,0.475,,
surf_divided_fix,4,2012,1167,2455,0.475,,
surf_petrus,3,2018,966,2059,0.469,,
surf_discovery,4,2012,1192,2543,0.469,,
surf_unraveled,3,2020,980,2101,0.467,,
surf_sandbrick,3,2019,958,2062,0.465,,
surf_lepidus,4,2012,1104,2383,0.463,,
surf_airflow,4,2013,1525,3308,0.461,,
surf_disappointed,5,2026,69,150,0.46,,
surf_sensation_fix,4,2012,1032,2243,0.46,,
surf_morbid2,4,2023,511,1119,0.457,,
surf_inrage,3,2012,987,2159,0.457,,
surf_cavemissile_fix,3,2019,1108,2436,0.455,,
surf_take1,3,2017,936,2061,0.454,,
surf_legendary,5,2012,1609,3541,0.454,,
surf_sempar_njv,4,2012,1086,2395,0.453,,
surf_orbion,4,2012,1046,2313,0.452,,
surf_gekar,4,2018,1125,2495,0.451,,
surf_depths,3,2014,1263,2802,0.451,,
surf_hyper,4,2012,975,2161,0.451,,
surf_stickybutt_alpha,3,2012,1026,2281,0.45,,
surf_eryr,4,2017,1203,2677,0.449,,
surf_catalyst,4,2012,1056,2353,0.449,,
surf_elixor,3,2013,1147,2567,0.447,,
surf_collection_njv,3,2012,1152,2585,0.446,,
surf_autosave_fix,5,2025,284,639,0.445,,
surf_kismet,2,2022,909,2042,0.445,,
surf_leesriize_ksf,3,2020,1132,2555,0.443,,
surf_wizard,3,2017,1208,2727,0.443,,
surf_not_quite_goliath,3,2023,495,1120,0.442,,
surf_sluice_final,4,2013,1445,3280,0.44,,
surf_torque2,3,2012,1192,2717,0.439,,
surf_life_of_cow,3,2018,1109,2530,0.438,,
surf_wicked,3,2022,837,1914,0.437,,
surf_minimumwage,3,2019,875,2001,0.437,,
surf_mash-up,3,2012,1267,2914,0.435,,
surf_loweffort2,5,2024,364,842,0.433,,
surf_fractal,3,2022,758,1757,0.431,,
surf_industries,3,2012,1200,2786,0.431,,
surf_sunday,4,2020,1066,2484,0.429,,
surf_theme,4,2020,1073,2504,0.429,,
surf_frey2_ksf,3,2022,647,1511,0.428,,
surf_beyer2,4,2014,1740,4065,0.428,,
surf_simpsons2,3,2024,396,932,0.425,,
surf_midsommar,3,2020,938,2205,0.425,,
surf_serenity,3,2017,1118,2630,0.425,,
surf_rst,4,2018,1027,2421,0.424,,
surf_symbiosis,4,2013,1018,2405,0.423,,
surf_memories,4,2018,883,2091,0.422,,
surf_parrot_selector_h,4,2012,862,2041,0.422,,
surf_interceptor,4,2012,1088,2579,0.422,,
surf_savant_njv,4,2012,1030,2443,0.422,,
surf_koa,4,2015,1095,2598,0.421,,
surf_exogenesis,3,2012,995,2365,0.421,,
surf_slate,4,2024,412,982,0.419,,
surf_resource,4,2017,1260,3006,0.419,,
surf_cement,4,2020,1553,3727,0.417,,
surf_zoomboys,3,2019,895,2156,0.415,,
surf_quickie_fix,4,2018,1335,3225,0.414,,
surf_elysium,5,2013,1878,4540,0.414,,
surf_prolix_fix,4,2012,916,2217,0.413,,
surf_sinner_ksf,3,2023,604,1472,0.41,,
surf_frus_njv,3,2025,157,385,0.408,,
surf_fabas,4,2020,872,2148,0.406,,
surf_roman_v2,3,2017,931,2294,0.406,,
surf_dhyana,3,2018,961,2370,0.405,,
surf_the_internet,3,2023,610,1510,0.404,,
surf_excavation,5,2024,524,1301,0.403,,
surf_hope,4,2017,1114,2766,0.403,,
surf_barbies_malibu_adventure,4,2023,561,1397,0.402,,
surf_4dimensional,4,2014,1005,2501,0.402,,
surf_artifex,4,2012,1138,2845,0.4,,
surf_grotto,4,2020,960,2408,0.399,,
surf_vestige_fix,4,2025,232,584,0.397,,
surf_bnw_njv,3,2019,775,1968,0.394,,
surf_runewords,4,2017,1264,3207,0.394,,
surf_freedom,4,2012,966,2471,0.391,,
